Lexeme: function, Token: func_keyword, LineNumber: 2
Lexeme: a, Token: id, LineNumber: 2
Lexeme: (, Token: left_parenth_operator, LineNumber: 2
Lexeme: ), Token: right_parenth_operator, LineNumber: 2
Lexeme: x, Token: id, LineNumber: 3
Lexeme: =, Token: assignment_operator, LineNumber: 3
Lexeme: 1, Token: literal_integer, LineNumber: 3
Lexeme: while, Token: while_keyword, LineNumber: 4
Lexeme: <x, Token: error, LineNumber: 4
Lexeme: 4, Token: literal_integer, LineNumber: 4
Lexeme: do, Token: do_keyword, LineNumber: 4
Lexeme: x, Token: id, LineNumber: 5
Lexeme: +=, Token: pe_operator, LineNumber: 5
Lexeme: x, Token: id, LineNumber: 5
Lexeme: 1, Token: literal_integer, LineNumber: 5
Lexeme: end, Token: end_keyword, LineNumber: 6
Lexeme: print, Token: print_keyword, LineNumber: 7
Lexeme: (, Token: left_parenth_operator, LineNumber: 7
Lexeme: x, Token: id, LineNumber: 7
Lexeme: ), Token: right_parenth_operator, LineNumber: 7
Lexeme: end, Token: end_keyword, LineNumber: 8
